Vehicle ID,Registration State,Vehicle Make,Vehicle Model,Vehicle Year,Insurance Provider,Insurance Policy Type,Insurance Claim History,Policy Expiration Date,Vehicle Condition,Owner Age Group,Accident History
VID00001,IL,Mercedes,F-150,2004,Geico,Collision,Yes,2025-06-01,Fair,36-45,0
VID00002,NY,Mercedes,F-150,2000,Progressive,Liability,Yes,2025-04-26,Poor,18-25,3
VID00003,MI,Volkswagen,Civic,2023,State Farm,Liability,Yes,2026-02-15,Fair,26-35,3
VID00004,FL,Nissan,C-Class,2000,Allstate,Collision,Yes,2025-12-10,Good,26-35,1
VID00005,IL,Mercedes,Silverado,2004,Geico,Full Coverage,Yes,2025-07-05,Poor,26-35,5
VID00006,IL,Hyundai,Camry,2023,Farmers,Comprehensive,No,2025-06-04,Good,26-35,5
VID00007,CA,Kia,Altima,2010,State Farm,Full Coverage,Yes,2025-10-15,Fair,60+,2
VID00008,IL,Honda,Silverado,2012,Progressive,Liability,Yes,2025-07-10,Good,18-25,0
VID00009,IL,Kia,Elantra,2007,Liberty Mutual,Comprehensive,Yes,2026-02-24,Poor,18-25,2
VID00010,OH,BMW,Elantra,2008,Progressive,Collision,No,2026-03-24,Poor,36-45,1
VID00011,NY,Toyota,Altima,2005,Farmers,Full Coverage,Yes,2026-03-25,Fair,46-60,2
VID00012,PA,Toyota,Elantra,2012,State Farm,Liability,No,2025-12-17,Good,26-35,4
VID00013,NY,Hyundai,Sorento,2016,Geico,Liability,No,2026-03-05,Poor,36-45,3
VID00014,GA,Kia,Silverado,2002,Progressive,Comprehensive,Yes,2025-06-26,Good,26-35,5
VID00015,IL,Volkswagen,Altima,2019,Progressive,Full Coverage,Yes,2026-01-19,Good,36-45,4
VID00016,TX,Chevrolet,Civic,2019,Geico,Liability,No,2026-01-20,Good,36-45,5
VID00017,FL,Chevrolet,F-150,2003,Farmers,Comprehensive,No,2025-07-04,Good,26-35,1
VID00018,TX,Chevrolet,Camry,2015,Progressive,Full Coverage,No,2025-09-13,Fair,18-25,1
VID00019,IL,Nissan,Camry,2013,Liberty Mutual,Collision,Yes,2026-03-21,Fair,26-35,0
VID00020,PA,Hyundai,3 Series,2015,Progressive,Liability,No,2025-05-18,Good,18-25,4
VID00021,MI,Nissan,Sorento,2011,USAA,Comprehensive,Yes,2025-04-24,Good,18-25,1
VID00022,FL,Honda,Altima,2011,Allstate,Collision,No,2026-02-13,Fair,36-45,0
VID00023,PA,Nissan,Altima,2006,Liberty Mutual,Comprehensive,Yes,2025-06-23,Poor,60+,5
VID00024,TX,BMW,Camry,2015,Allstate,Comprehensive,Yes,2026-02-11,Fair,36-45,5
VID00025,FL,Honda,Silverado,2002,Farmers,Liability,Yes,2026-01-12,Fair,46-60,0
VID00026,CA,Mercedes,Sorento,2014,Liberty Mutual,Liability,No,2025-05-27,Poor,60+,3
VID00027,GA,Hyundai,Elantra,2020,Liberty Mutual,Collision,Yes,2025-05-17,Fair,26-35,5
VID00028,FL,Honda,Jetta,2003,Progressive,Comprehensive,No,2025-08-30,Good,18-25,3
VID00029,IL,Hyundai,3 Series,2021,USAA,Full Coverage,No,2025-05-20,Poor,18-25,2
VID00030,OH,Honda,Silverado,2004,Geico,Comprehensive,Yes,2025-10-25,Good,60+,2
VID00031,CA,Hyundai,Jetta,2021,Farmers,Liability,No,2025-06-08,Good,60+,1
VID00032,NY,Nissan,3 Series,2004,Liberty Mutual,Liability,Yes,2026-03-24,Good,60+,4
VID00033,GA,Ford,Silverado,2005,Farmers,Collision,No,2025-07-20,Poor,26-35,3
VID00034,OH,Mercedes,Altima,2008,USAA,Comprehensive,No,2025-08-03,Poor,26-35,2
VID00035,FL,Chevrolet,Camry,2023,State Farm,Liability,Yes,2025-06-17,Fair,46-60,5
VID00036,IL,Toyota,Jetta,2004,State Farm,Liability,Yes,2025-07-24,Fair,36-45,3
VID00037,CA,Honda,Altima,2011,Liberty Mutual,Liability,No,2025-11-02,Good,36-45,2
VID00038,IL,Honda,3 Series,2015,Farmers,Liability,Yes,2025-10-17,Good,18-25,3
VID00039,MI,BMW,Camry,2023,Progressive,Collision,No,2025-07-08,Poor,26-35,0
VID00040,PA,Nissan,Altima,2019,Liberty Mutual,Liability,Yes,2025-06-23,Good,46-60,0
VID00041,NC,Kia,Altima,2008,Geico,Comprehensive,No,2026-03-13,Fair,60+,4
VID00042,IL,BMW,Camry,2019,Geico,Full Coverage,Yes,2025-10-09,Fair,60+,5
VID00043,NY,Honda,C-Class,2010,Geico,Full Coverage,No,2025-11-01,Good,26-35,4
VID00044,NC,Ford,3 Series,2021,Progressive,Liability,No,2026-01-15,Good,26-35,2
VID00045,GA,Honda,Camry,2001,State Farm,Collision,Yes,2025-09-30,Good,46-60,3
VID00046,TX,Toyota,Silverado,2011,Geico,Full Coverage,Yes,2025-12-31,Poor,46-60,1
VID00047,CA,Ford,3 Series,2002,Allstate,Liability,Yes,2025-12-27,Poor,18-25,1
VID00048,GA,BMW,Elantra,2019,Geico,Comprehensive,No,2026-02-06,Poor,18-25,2
VID00049,MI,BMW,C-Class,2020,Farmers,Full Coverage,No,2025-09-02,Fair,60+,3
VID00050,IL,Chevrolet,F-150,2022,USAA,Liability,No,2025-07-05,Poor,36-45,5
VID00051,FL,Nissan,Elantra,2001,Liberty Mutual,Comprehensive,Yes,2025-10-02,Poor,46-60,0
VID00052,GA,Toyota,Silverado,2001,Allstate,Full Coverage,No,2026-01-18,Good,18-25,4
VID00053,IL,BMW,F-150,2011,USAA,Full Coverage,No,2025-08-03,Good,26-35,5
VID00054,OH,Chevrolet,C-Class,2021,Farmers,Collision,No,2025-04-27,Fair,46-60,2
VID00055,CA,Volkswagen,C-Class,2001,USAA,Comprehensive,Yes,2026-01-09,Good,36-45,5
VID00056,OH,Volkswagen,3 Series,2014,State Farm,Liability,No,2025-05-22,Good,18-25,2
VID00057,OH,Honda,Camry,2016,State Farm,Liability,Yes,2025-12-21,Poor,26-35,2
VID00058,MI,Volkswagen,3 Series,2022,Geico,Full Coverage,No,2025-05-25,Good,60+,3
VID00059,TX,Honda,Jetta,2001,Liberty Mutual,Liability,Yes,2025-05-05,Fair,18-25,2
VID00060,TX,Chevrolet,Sorento,2005,Allstate,Collision,Yes,2025-11-21,Fair,18-25,5
VID00061,PA,Honda,3 Series,2021,USAA,Comprehensive,Yes,2025-10-08,Good,18-25,5
VID00062,FL,Nissan,Altima,2005,USAA,Collision,Yes,2025-08-18,Fair,60+,5
VID00063,FL,Nissan,Sorento,2005,State Farm,Comprehensive,Yes,2025-11-29,Good,18-25,3
VID00064,GA,Honda,Elantra,2021,State Farm,Liability,Yes,2025-05-28,Fair,46-60,3
VID00065,TX,Ford,Jetta,2013,Liberty Mutual,Liability,Yes,2026-02-27,Fair,26-35,3
